10.4 24.4 35.0 -1	
113.31	0.01029530441
114.89	0.01026103095
116.49	0.01020256567
118.12	0.01015019850
119.76	0.01007258657
121.43	0.00986180406
123.13	0.00951120599
124.84	0.00940361169
126.58	0.00931352094
128.35	0.00926622347
130.14	0.00899393159
131.95	0.00891081768
133.79	0.00875989947
135.65	0.00861271147
137.54	0.00848596696
139.46	0.00845832758
141.41	0.00826029841
143.38	0.00825546259
145.38	0.00815461054
147.40	0.00813443891
149.46	0.00804686249
151.54	0.00798568510
153.65	0.00786022771
155.79	0.00774679322
157.97	0.00757441068
160.17	0.00739439318
162.40	0.00722724078
164.66	0.00705890554
166.96	0.00692504972
169.29	0.00681494183
171.65	0.00666350096
174.04	0.00649177821
176.47	0.00631557272
178.93	0.00624761399
181.42	0.00606677770
183.95	0.00601035700
186.51	0.00581754811
189.11	0.00592150612
191.75	0.00580250954
194.42	0.00564809665
197.13	0.00553615862
199.88	0.00540656628
202.67	0.00528732618
205.49	0.00516726838
208.36	0.00505680183
211.26	0.00493926928
214.20	0.00485087233
217.19	0.00474372863
220.22	0.00463910748
223.29	0.00453276665
226.40	0.00445215539
229.56	0.00467686238
232.76	0.00486718993
236.00	0.00493616750
239.29	0.00526629733
242.63	0.00591818980
246.01	0.00640434802
249.44	0.00663651292
252.91	0.00715926655
256.44	0.00828722884
260.01	0.00986102345
263.64	0.01166132612
267.31	0.01332738527
271.04	0.01425641867
274.82	0.01505675870
278.65	0.01530227513
282.53	0.01523112748
286.47	0.01526836298
290.46	0.01531274150
294.51	0.01535546407
298.62	0.01554121522
302.78	0.01568344175
307.00	0.01600822753
311.28	0.01624060453
315.62	0.01623630516
320.02	0.01609472023
324.48	0.01574195477
329.00	0.01532681161
333.59	0.01501898891
338.24	0.01482975208
342.96	0.01457498090
347.74	0.01423800346
352.58	0.01401784923
357.50	0.01372445857
362.48	0.01338790724
367.53	0.01314963283
372.66	0.01273740619
377.85	0.01263903572
383.12	0.01266787486
388.46	0.01269240063
393.87	0.01616030966
399.36	0.01285808013
404.93	0.01283091596
410.58	0.01295788433
416.30	0.01159279168
422.10	0.01138218676
427.99	0.01089897538
433.95	0.01075170795
440.00	0.01075001797
446.13	0.01062131290
452.35	0.01011874993
458.66	0.00963566129
465.05	0.00917445113
471.54	0.00884433479
478.11	0.00854059670
484.77	0.00822093025
491.53	0.00800079634
498.38	0.00780700105
505.33	0.00773496116
512.37	0.00761102392
519.52	0.00754676212
526.76	0.00734520328
534.10	0.00692739537
541.54	0.00671090314
549.09	0.00633936791
556.75	0.00605554927
564.51	0.00588737196
572.38	0.00579286024
580.36	0.00533019521
588.45	0.00524109605
596.65	0.00514022408
604.97	0.00498045930
613.40	0.00477902026
621.95	0.00457118699
630.62	0.00440774298
639.41	0.00424499656
648.32	0.00409351786
657.36	0.00393364946
666.52	0.00378583974
675.81	0.00365421103
685.23	0.00352599245
694.79	0.00339211296
704.47	0.00323307363
714.29	0.00308852093
724.25	0.00296873062
734.34	0.00284303151
744.58	0.00273482004
754.96	0.00263017537
765.48	0.00251502233
776.15	0.00239010976
786.97	0.00228337173
797.94	0.00218150889
809.06	0.00209267614
820.34	0.00201653969
831.78	0.00193871708
843.37	0.00184995638
855.13	0.00176622879
867.05	0.00168249691
879.13	0.00160359905
891.39	0.00153286182
903.81	0.00146964062
916.41	0.00140494424
929.19	0.00134036485
942.14	0.00127665261
955.27	0.00121594868
968.59	0.00116071053
982.09	0.00111315027
995.78	0.00106934305
1009.66	0.00102484007
1023.73	0.00097898829
1038.01	0.00093519457
1052.47	0.00089334653
1067.15	0.00085338330
1082.02	0.00081521128
1097.10	0.00077874492
1112.40	0.00074390869
1127.90	0.00071063273
1143.62	0.00067884530
1159.57	0.00064848657
1175.73	0.00061948587
1192.12	0.00059178553
1208.74	0.00056532317
1225.59	0.00054004472
1242.67	0.00051589822
1259.99	0.00049280299
1277.56	0.00047040886
1295.36	0.00044895053
1313.42	0.00042846493
1331.73	0.00040891349
1350.29	0.00039025423
1369.12	0.00037244743
1388.20	0.00035545404
1407.55	0.00033923734
1427.17	0.00032376015
1447.07	0.00030898789
1467.24	0.00029489228
1487.69	0.00028144018
1508.43	0.00026860125
1529.45	0.00025631870
1550.77	0.00024444684
1572.39	0.00023305757
1594.31	0.00022220037
1616.53	0.00021184904
1639.07	0.00020198020
1661.91	0.00019257089
1685.08	0.00018359976
1708.57	0.00017504789
1732.38	0.00016689438
1756.53	0.00015912015
1781.02	0.00015170867
1805.84	0.00014464213
1831.02	0.00013790484
1856.54	0.00013148202
1882.42	0.00012535808
1908.66	0.00011951982
1935.27	0.00011395364
1962.24	0.00010861598
1989.59	0.00010350733
2017.33	0.00009863221
2045.45	0.00009398699
2073.96	0.00008955988
2102.87	0.00008534200
2132.18	0.00008132304
2161.91	0.00007749295
2192.04	0.00007384318
2222.60	0.00007036547
2253.58	0.00006705150
2284.99	0.00006389353
2316.84	0.00006088461
2349.14	0.00005801731
2381.89	0.00005528469
2415.09	0.00005268057
2448.75	0.00005019905
2482.89	0.00004783382
2517.50	0.00004556878
2552.59	0.00014940090
2588.17	0.00014244332
2624.25	0.00013578898
2660.83	0.00017786354
2697.92	0.00016969737
2735.53	0.00016190311
2773.66	0.00015446605
2812.32	0.00014736966
2851.53	0.00014059519
2891.27	0.00015242568
2931.58	0.00014535677
2972.44	0.00013861386
3013.88	0.00013218328
3055.89	0.00012605160
3098.48	0.00012020372
3141.68	0.00011462726
3185.47	0.00010930969
3229.87	0.00010423856
3274.90	0.00009940121
3320.55	0.00009477593
3366.83	0.00009026284
3413.76	0.00008595955
3461.35	0.00008186157
3509.60	0.00007795912
3558.52	0.00007424278
3608.13	0.00007070347
3658.42	0.00006733234
3709.42	0.00006412264
3761.12	0.00006106586
3813.55	0.00005815463
3866.71	0.00005538226
3920.61	0.00005272928
3975.26	0.00005017726
4030.68	0.00004773072
4086.86	0.00004540335
4143.83	0.00004318956
4201.59	0.00004108372
4260.16	0.00003908050
4319.54	0.00003717505
4379.76	0.00003536254
4440.81	0.00003363824
4502.71	0.00003199815
4565.48	0.00003043799
4629.12	0.00002895401
4693.64	0.00002754229
4759.07	0.00002619945
4825.41	0.00002491782
4892.67	0.00002368776
4960.87	0.00002251188
5030.03	0.00002139436
5100.14	0.00002033236
5171.23	0.00001932306
5243.32	0.00001836388
5316.41	0.00001745230
5390.52	0.00001658597
5465.66	0.00001576269
5541.85	0.00001498025
5619.10	0.00001423666
5697.42	0.00001353000
5776.84	0.00001285839
5857.37	0.00001222013
5939.02	0.00001161359
6021.80	0.00001103712
6105.74	0.00001048931
6190.85	0.00000996866
6277.15	0.00000947155
6364.65	0.00000899645
6453.37	0.00000854380
6543.33	0.00000811392
6634.54	0.00000770571
6727.02	0.00000731802
6820.79	0.00000694984
6915.87	0.00000660021
7012.27	0.00000626813
7110.02	0.00000595278
7209.13	0.00000565331
7309.62	0.00000536890
7411.51	0.00000509880
7514.83	0.00000484230
7619.58	0.00000459871
7725.79	0.00000436737
7833.48	0.00000414767
7942.68	0.00000393903
8053.40	0.00000374089
8165.66	0.00000355271
8279.48	0.00000337400
8394.89	0.00000320429
8511.91	0.00000304311
8630.56	0.00000289004
8750.87	0.00000274468
8872.85	0.00000260664
8996.53	0.00000247549
9121.94	0.00000235039
9249.10	0.00000223150
9378.02	0.00000211862
9508.75	0.00000201146
9641.29	0.00000190971
9775.69	0.00000181309
9911.96	0.00000172132
10050.13	0.00000163417
10190.22	0.00000155142
10332.26	0.00000147287
10476.29	0.00000139827
10622.32	0.00000132744
