4.5	100	1839	-1
0.049592	0.027505776
0.06199	0.043879908
0.0774875	0.027007562
0.086786	0.036656695
0.092985	0.058885569
0.099184	0.094300518
0.1084825	0.14872364
0.117781	0.322245322
0.12398	0.50397878
0.130179	0.454545455
0.1394775	0.08
0.154975	0.000147929
0.18597	0.000865044
0.24796	0.00131489
0.2634575	0.008116427
0.278955	0.005537712
0.2944525	0.000692516
0.30995	6.57462E-05
0.37194	0.00059488
0.402935	0.00118974
0.4184325	0.002973978
0.43393	0.00059488
0.49592	0.00059488
1	2.50752E-11
2	2.41928E-11
3	2.26798E-11
4	2.03789E-11
4.25	1.96541E-11
4.5	4.14352E-05
4.75	0.000215259
5	0.000829012
5.5	0.004231286
6	0.012394177
6.5	0.027724457
7.25	0.05256674
8	0.080635461
9	0.120026331
10	0.15404639
10.5	0.173357402
11	0.197048686
12	0.246733373
14	0.351580595
16	0.478491165
18	0.685914201
20	1.034038287
22	1.450259256
24	1.501066336
30	0.938734497
35	0.531752204
40	0.329368447
50	0.14673243
60	0.081587279
80	0.031460378
100	0.025422398
102	0.036304051
125	0.041944035
250	0.008293578
500	0.001880499
1000	0.000155284
1815	1.63427E-05
1860	8.08007E-05
2000	6.29312E-05
4000	4.95568E-06
8000	3.38271E-07
9271    1.89403E-07
9934    1.44240E-07
14032   3.6809E-08
16111   2.1324E-08
19821   9.44927E-09
22757   5.53436E-09
26129   3.28405E-09
30000   1.98730E-09
-1	-1
